50
760,400
757.161,445.12
748.69,489.528
734.72,532.525
715.47,573.431
691.246,611.603
662.429,646.437
629.473,677.385
592.898,703.958
553.281,725.738
511.246,742.38
467.457,753.623
422.605,759.29
377.395,759.29
332.543,753.623
288.754,742.38
246.719,725.738
207.102,703.958
170.527,677.385
137.571,646.437
108.754,611.603
84.5296,573.431
65.2804,532.525
51.3101,489.528
42.8387,445.12
40,400
42.8387,354.88
51.3101,310.472
65.2805,267.475
84.5296,226.569
108.754,188.397
137.571,153.563
170.527,122.615
207.102,96.0419
246.72,74.2622
288.754,57.6196
332.543,46.3766
377.395,40.7104
422.605,40.7104
467.457,46.3766
511.246,57.6197
553.281,74.2623
592.898,96.042
629.473,122.615
662.429,153.563
691.246,188.397
715.47,226.569
734.72,267.475
748.69,310.472
757.161,354.88
